Wavelength (nm),OD,% Transmission
190,56.59624458,2.5337E-55
191,56.93023198,1.17427E-55
192,56.9309485,1.17233E-55
193,56.97158806,1.06761E-55
194,57.09588107,8.01898E-56
195,56.98824065,1.02745E-55
196,56.9963038,1.00855E-55
197,57.0657669,8.59475E-56
198,57.0572242,8.76548E-56
199,57.13286234,7.3644E-56
200,57.2023844,6.27503E-56
201,57.17280985,6.71723E-56
202,57.25760818,5.52576E-56
203,57.31489143,4.84293E-56
204,57.39774379,4.00181E-56
205,57.39721307,4.0067E-56
206,57.46719131,3.41043E-56
207,57.48435458,3.27828E-56
208,57.57866471,2.63837E-56
209,57.61887035,2.40508E-56
210,57.61197433,2.44358E-56
211,57.71137469,1.94368E-56
212,57.70643354,1.96592E-56
213,57.77016887,1.69758E-56
214,57.73641309,1.83479E-56
215,57.78398538,1.64443E-56
216,57.78475866,1.6415E-56
217,57.84148447,1.44051E-56
218,57.85225686,1.40522E-56
219,57.81984513,1.5141E-56
220,57.88430922,1.30524E-56
221,57.83131624,1.47463E-56
222,57.87583996,1.33094E-56
223,57.8564392,1.39175E-56
224,57.85181515,1.40665E-56
225,57.840887,1.44249E-56
226,57.87475404,1.33428E-56
227,57.83323106,1.46814E-56
228,57.81226262,1.54077E-56
229,57.8483371,1.41796E-56
230,57.84173036,1.43969E-56
231,57.86344648,1.36947E-56
232,57.82802066,1.48586E-56
233,57.8117141,1.54272E-56
234,57.82683127,1.48994E-56
235,57.82789827,1.48628E-56
236,57.83767264,1.45321E-56
237,57.83535616,1.46098E-56
238,57.81038341,1.54745E-56
239,57.82474288,1.49712E-56
240,57.85511518,1.396E-56
241,57.85113868,1.40884E-56
242,57.85883356,1.3841E-56
243,57.83851489,1.45039E-56
244,57.86577297,1.36216E-56
245,57.86700241,1.35831E-56
246,57.85450547,1.39796E-56
247,57.85571377,1.39408E-56
248,57.86589202,1.36178E-56
249,57.85127553,1.40839E-56
250,57.88989791,1.28855E-56
251,57.8922244,1.28167E-56
252,57.89122972,1.28461E-56
253,57.90508406,1.24427E-56
254,57.91523561,1.21553E-56
255,57.92141065,1.19837E-56
256,57.92158755,1.19788E-56
257,57.93996804,1.14824E-56
258,57.94465217,1.13592E-56
259,57.9884805,1.02688E-56
260,57.99935413,1.00149E-56
261,40.13394904,7.346E-39
262,35.62968051,2.34595E-34
263,33.90090983,1.25629E-32
264,32.56456175,2.72545E-31
265,31.52298977,2.99923E-30
266,30.61853304,2.40695E-29
267,29.7798797,1.66005E-28
268,29.04667317,8.98104E-28
269,28.34599297,4.50824E-27
270,27.73311758,1.84877E-26
271,27.1327368,7.36653E-26
272,26.54887117,2.82572E-25
273,25.9876022,1.02896E-24
274,25.48863727,3.24611E-24
275,25.02188754,9.50851E-24
276,24.53824455,2.89571E-23
277,24.1128009,7.71257E-23
278,23.69551451,2.01598E-22
279,23.29495022,5.07049E-22
280,22.8955622,1.27186E-21
281,22.5253373,2.98306E-21
282,22.15214838,7.04452E-21
283,21.80187562,1.57806E-20
284,21.46310367,3.44268E-20
285,21.15589528,6.98401E-20
286,20.82714721,1.48886E-19
287,20.50120517,3.15351E-19
288,20.23004573,5.88782E-19
289,19.89948708,1.26041E-18
290,19.65349071,2.2208E-18
291,19.41318329,3.86204E-18
292,19.10022254,7.93921E-18
293,18.84904716,1.41564E-17
294,18.62282633,2.38327E-17
295,18.35338126,4.43219E-17
296,18.10584207,7.83715E-17
297,17.92781086,1.18083E-16
298,17.73217519,1.85278E-16
299,17.49306916,3.21315E-16
300,17.29555879,5.06339E-16
301,17.13759728,7.28455E-16
302,16.94692723,1.12999E-15
303,16.82171681,1.50759E-15
304,16.61380686,2.43329E-15
305,16.46578562,3.42148E-15
306,16.39465181,4.0304E-15
307,16.21184743,6.13978E-15
308,15.94818722,1.12671E-14
309,15.41382728,3.85632E-14
310,14.59730128,2.52754E-13
311,13.62523003,2.37012E-12
312,12.58031384,2.62837E-11
313,11.60583049,2.47839E-10
314,10.68045421,2.08711E-09
315,9.829363497,1.48128E-08
316,9.06328121,8.64408E-08
317,8.356356228,4.40194E-07
318,7.714398342,1.9302E-06
319,7.12925933,7.42576E-06
320,6.591925121,2.55903E-05
321,6.102586148,7.89612E-05
322,5.660664735,0.000218442
323,5.244743481,0.000569189
324,4.871578077,0.00134407
325,4.527144174,0.00297068
326,4.221017716,0.006011492
327,3.931522371,0.011707863
328,3.668472752,0.021454937
329,3.428323936,0.037297186
330,3.210908934,0.061530588
331,3.00727149,0.098339616
332,2.82434566,0.149849169
333,2.655898434,0.220852117
334,2.496788462,0.318574887
335,2.358581905,0.43794351
336,2.224953633,0.595725742
337,2.104514479,0.786113982
338,1.997546922,1.005664403
339,1.892056682,1.282163229
340,1.802524833,1.575705923
341,1.715972908,1.923211698
342,1.638128722,2.300759786
343,1.569376523,2.695401573
344,1.505251633,3.12426862
345,1.443787882,3.599250869
346,1.386036446,4.111152191
347,1.33610656,4.612043975
348,1.279391735,5.255430113
349,1.23281077,5.850449434
350,1.138727934,7.265609721
351,1.101902451,7.90856246
352,1.065469287,8.600638877
353,1.03089392,9.313353331
354,1.000671288,9.984554959
355,0.970033169,10.71437472
356,0.94189137,11.43164237
357,0.916986831,12.10634843
358,0.894456352,12.75098245
359,0.873450342,13.38288228
360,0.852317837,14.05018888
